fitness_avg_sic,expression,depth,length,factor_order_in_model,sym,freq,y_train_ret_period,start_date_train,end_date_train,start_date_test,end_date_test,metric,current_time,fitness_avg_pic_train,fitness_avg_pic_test,fitness_avg_sic_train,fitness_avg_sic_test,fitness_calmar_train,fitness_calmar_test,fitness_sharp_train,fitness_sharp_test,fitness_sharpe_fixed_threshold_train,fitness_sharpe_fixed_threshold_test,fitness_sharpe_std_threshold_train,fitness_sharpe_std_threshold_test,fitness_max_dd_train,fitness_max_dd_test,fitness_avg_mdd_train,fitness_avg_mdd_test,fitness_max_ic_train,fitness_max_ic_test,max_ic_train_check,given_ic_test
nan,ta_dema_8(ts_prod_17(ts_min_20(ta_dema_8(tanh(v_trix_8_obv))))),5,6,alpha_178,ETHUSDT,15m,8,2022-01-01,2025-01-01,2025-01-01,2025-10-01,avg_sic,20251213093745,,,,,0.1647624962519412,inf,0.45965821095722165,,0.17884718656591295,,-0.5155165717734388,,-85.43186002165821,0.0,-32.4960665395069,0.0,0.00610351,,0.00610351,
nan,"ts_std_40(ta_ema_55(ta_beta_5(donchian_pos_200, donchian_pos_200)))",3,5,alpha_179,ETHUSDT,15m,8,2022-01-01,2025-01-01,2025-01-01,2025-10-01,avg_sic,20251213093745,,,,,-0.33756361740811414,inf,-2.0540332806224693,,2.719386628717993,,0.45805763628830104,,-56.09685117715358,0.0,-11.219370235430716,0.0,-0.03079749,,-0.03079749,
nan,"ts_kurt_10(ts_prod_17(ts_min_20(ta_dema_8(div(trend_slope_168, trend_slope_168)))))",5,7,alpha_180,ETHUSDT,15m,8,2022-01-01,2025-01-01,2025-01-01,2025-10-01,avg_sic,20251213093745,,,,,-0.2110534985593371,inf,-1.3557650009210271,,0.4584967741973626,,-2.20495967630487,,-102.0729756719084,0.0,-20.414595134381678,0.0,0.00220251,,0.00220251,
nan,cos(ta_mom_25(tanh(v_trix_8_obv))),3,4,alpha_181,ETHUSDT,15m,8,2022-01-01,2025-01-01,2025-01-01,2025-10-01,avg_sic,20251213093745,,,,,1.347602058714344,4.207125788716917,2.571325959013123,4.509829413238479,0.7472628983848033,,0.5868501020263626,,-66.89501944449013,-38.50258026987454,-44.096477805297496,-23.54674780531132,-0.00559649,,-0.00559649,
nan,"ts_argmax_10(TA_SAR(v_trix_8_obv, trades))",2,4,alpha_182,ETHUSDT,15m,8,2022-01-01,2025-01-01,2025-01-01,2025-10-01,avg_sic,20251213093745,,,,,0.08731927422371626,inf,0.25533161087596723,,-1.3756838778931657,,0.9988061631715228,,-37.175285025916665,0.0,-7.435057005183333,0.0,0.02930251,,0.02930251,
nan,"ta_rocp_25(ta_lr_slope_10(ta_beta_20(ori_trix_21, ori_trix_21)))",3,5,alpha_183,ETHUSDT,15m,8,2022-01-01,2025-01-01,2025-01-01,2025-10-01,avg_sic,20251213093745,,,,,-0.10278880421124477,inf,-0.5548183229338235,,-1.85292400329198,,-2.271563793891118,,-47.4850580610474,0.0,-9.49701161220948,0.0,0.01670251,,0.01670251,
nan,"ta_lr_angle_20(ta_rsi_12(ts_wma_21(ta_ema_55(ta_beta_5(donchian_pos_200, donchian_pos_200)))))",5,7,alpha_184,ETHUSDT,15m,8,2022-01-01,2025-01-01,2025-01-01,2025-10-01,avg_sic,20251213093745,,,,,0.6005014753351159,inf,1.1204796877906218,,0.05195450335040134,,0.9800205317270062,,-17.21939581793162,0.0,-3.443879163586324,0.0,0.02120251,,0.02120251,
nan,"ta_trix_8(tanh(ts_argmin_20(ts_wma_21(ta_ema_55(ta_beta_5(donchian_pos_200, donchian_pos_200))))))",6,8,alpha_185,ETHUSDT,15m,8,2022-01-01,2025-01-01,2025-01-01,2025-10-01,avg_sic,20251213093745,,,,,-0.3221226936393412,inf,-2.4362335973013334,,0.18721714279532156,,-0.41577626791353167,,-171.9800638318452,0.0,-34.39601276636904,0.0,0.00330251,,0.00330251,
nan,"ta_dema_8(ts_prod_17(ts_wma_21(ta_ema_55(ta_beta_5(donchian_pos_200, donchian_pos_200)))))",5,7,alpha_186,ETHUSDT,15m,8,2022-01-01,2025-01-01,2025-01-01,2025-10-01,avg_sic,20251213093745,,,,,-0.20530056737855107,inf,-1.1073125192197313,,0.6749369462599019,,-0.0004204407743565292,,-81.98522572297422,0.0,-16.397045144594845,0.0,-0.012697489999999999,,-0.012697489999999999,
nan,"ts_kurt_10(ta_rocp_25(ta_dx_14(vol_ccy, donchian_pos_50, h_ta_lr_angle_10)))",3,6,alpha_187,ETHUSDT,15m,8,2022-01-01,2025-01-01,2025-01-01,2025-10-01,avg_sic,20251213093745,,,,,-0.12885994390498334,inf,-0.3674030028974756,,2.351166261285578,,1.0001184985746245,,-26.63875974180352,0.0,-5.327751948360704,0.0,0.02860251,,0.02860251,
nan,ta_dema_8(ta_rsi_24(tanh(v_trix_8_obv))),3,4,alpha_188,ETHUSDT,15m,8,2022-01-01,2025-01-01,2025-01-01,2025-10-01,avg_sic,20251213093745,,,,,-0.0884779299870508,inf,-0.2613843909803031,,0.25193532321369017,,0.08300857407007417,,-82.76274917059656,0.0,-32.28073850827848,0.0,-0.0016974899999999998,,-0.0016974899999999998,
